
	========== PASAJEROS ========== 	  Tiempos

[-] Pasajero 29 coge maleta (Pasajero 29-1)	[0.5124455]
[-] Pasajero 1 coge maleta (Pasajero 1-1)	[0.5488038]
[-] Pasajero 11 coge maleta (Pasajero 11-1)	[0.5615222]
[-] Pasajero 30 coge maleta (Pasajero 30-1)	[0.5786861]
[-] Pasajero 10 coge maleta (Pasajero 10-1)	[0.597569]
[-] Pasajero 38 coge maleta (Pasajero 38-1)	[0.6040961]
[-] Pasajero 0 coge maleta (Pasajero 0-1)	[0.6292225]
[-] Pasajero 26 coge maleta (Pasajero 26-1)	[0.635292]
[-] Pasajero 36 coge maleta (Pasajero 36-1)	[0.6499861]
[-] Pasajero 23 coge maleta (Pasajero 23-1)	[0.6659886]
[-] Pasajero 37 coge maleta (Pasajero 37-1)	[1.6242927]
[-] Pasajero 3 coge maleta (Pasajero 3-1)	[1.8308292]
[-] Pasajero 31 coge maleta (Pasajero 31-1)	[2.6670782]
[-] Pasajero 9 coge maleta (Pasajero 9-1)	[2.9387175]
[-] Pasajero 4 coge maleta (Pasajero 4-1)	[3.7688234]
[-] Pasajero 27 coge maleta (Pasajero 27-1)	[4.2745737]
[-] Pasajero 32 coge maleta (Pasajero 32-1)	[5.0639927]
[-] Pasajero 25 coge maleta (Pasajero 25-1)	[5.5927041]
[-] Pasajero 7 coge maleta (Pasajero 7-1)	[6.2227371]
[-] Pasajero 6 coge maleta (Pasajero 6-1)	[6.6231287]
[-] Pasajero 12 coge maleta (Pasajero 12-1)	[7.3531392]
[-] Pasajero 21 coge maleta (Pasajero 21-1)	[8.0475781]
[-] Pasajero 8 coge maleta (Pasajero 8-1)	[8.5501049]
[-] Pasajero 16 coge maleta (Pasajero 16-1)	[9.3244084]
[-] Pasajero 15 coge maleta (Pasajero 15-1)	[9.6789888]
[-] Pasajero 34 coge maleta (Pasajero 34-1)	[10.4704427]
[-] Pasajero 24 coge maleta (Pasajero 24-1)	[10.7413698]
[-] Pasajero 20 coge maleta (Pasajero 20-1)	[11.5401483]
[-] Pasajero 18 coge maleta (Pasajero 18-1)	[12.1048492]
[-] Pasajero 22 coge maleta (Pasajero 22-1)	[12.7209595]
[-] Pasajero 19 coge maleta (Pasajero 19-1)	[13.1218965]
[-] Pasajero 2 coge maleta (Pasajero 2-1)	[13.6641828]
[-] Pasajero 33 coge maleta (Pasajero 33-1)	[14.4619808]
[-] Pasajero 28 coge maleta (Pasajero 28-1)	[14.7463661]
[-] Pasajero 14 coge maleta (Pasajero 14-1)	[15.6845996]
[-] Pasajero 13 coge maleta (Pasajero 13-1)	[16.0596702]
[-] Pasajero 17 coge maleta (Pasajero 17-1)	[16.9032684]
[-] Pasajero 5 coge maleta (Pasajero 5-1)	[17.2023859]
[-] Pasajero 35 coge maleta (Pasajero 35-1)	[18.0548334]
[-] Pasajero 39 coge maleta (Pasajero 39-1)	[18.2849386]
[-] Pasajero 29 coge maleta (Pasajero 29-2)	[18.7257465]
[-] Pasajero 1 coge maleta (Pasajero 1-2)	[18.9111696]
[-] Pasajero 23 coge maleta (Pasajero 23-2)	[19.7156631]
[-] Pasajero 26 coge maleta (Pasajero 26-2)	[19.9579973]
[-] Pasajero 30 coge maleta (Pasajero 30-2)	[21.143233]
[-] Pasajero 10 coge maleta (Pasajero 10-2)	[21.148847]
[-] Pasajero 0 coge maleta (Pasajero 0-2)	[22.304287]
[-] Pasajero 11 coge maleta (Pasajero 11-2)	[22.3906058]
[-] Pasajero 36 coge maleta (Pasajero 36-2)	[23.2706891]
[-] Pasajero 38 coge maleta (Pasajero 38-2)	[23.450085]
[-] Pasajero 37 coge maleta (Pasajero 37-2)	[23.311577]

	========== PASAJEROS ========== 	  Tiempos

[-] Pasajero 9 coge maleta (Pasajero 9-1)	[0.5183359]
[-] Pasajero 10 coge maleta (Pasajero 10-1)	[0.5621813]
[-] Pasajero 39 coge maleta (Pasajero 39-1)	[0.5685809]
[-] Pasajero 28 coge maleta (Pasajero 28-1)	[0.5887432]
[-] Pasajero 13 coge maleta (Pasajero 13-1)	[0.6301018]
[-] Pasajero 11 coge maleta (Pasajero 11-1)	[0.6804812]
[-] Pasajero 26 coge maleta (Pasajero 26-1)	[0.6976802]
[-] Pasajero 20 coge maleta (Pasajero 20-1)	[0.7133099]
[-] Pasajero 12 coge maleta (Pasajero 12-1)	[0.7299861]
[-] Pasajero 19 coge maleta (Pasajero 19-1)	[0.7779548]
[-] Pasajero 34 coge maleta (Pasajero 34-1)	[1.9559295]
[-] Pasajero 25 coge maleta (Pasajero 25-1)	[2.0008184]
[-] Pasajero 37 coge maleta (Pasajero 37-1)	[3.0852423]
[-] Pasajero 21 coge maleta (Pasajero 21-1)	[3.1391723]
[-] Pasajero 18 coge maleta (Pasajero 18-1)	[4.0731945]
[-] Pasajero 2 coge maleta (Pasajero 2-1)	[4.4326518]
[-] Pasajero 33 coge maleta (Pasajero 33-1)	[5.1701455]
[-] Pasajero 22 coge maleta (Pasajero 22-1)	[5.6943442]
[-] Pasajero 7 coge maleta (Pasajero 7-1)	[6.3814516]
[-] Pasajero 30 coge maleta (Pasajero 30-1)	[6.8398068]
[-] Pasajero 24 coge maleta (Pasajero 24-1)	[7.434926]
[-] Pasajero 29 coge maleta (Pasajero 29-1)	[8.070279]
[-] Pasajero 36 coge maleta (Pasajero 36-1)	[8.7672717]
[-] Pasajero 27 coge maleta (Pasajero 27-1)	[9.1300337]
[-] Pasajero 35 coge maleta (Pasajero 35-1)	[9.9230584]
[-] Pasajero 23 coge maleta (Pasajero 23-1)	[10.2236141]
[-] Pasajero 5 coge maleta (Pasajero 5-1)	[11.0793501]
[-] Pasajero 0 coge maleta (Pasajero 0-1)	[11.3852629]
[-] Pasajero 15 coge maleta (Pasajero 15-1)	[12.2810588]
[-] Pasajero 6 coge maleta (Pasajero 6-1)	[12.5054845]
[-] Pasajero 38 coge maleta (Pasajero 38-1)	[13.4532843]
[-] Pasajero 8 coge maleta (Pasajero 8-1)	[13.6726102]
[-] Pasajero 31 coge maleta (Pasajero 31-1)	[14.7076309]
[-] Pasajero 32 coge maleta (Pasajero 32-1)	[14.7853578]
[-] Pasajero 4 coge maleta (Pasajero 4-1)	[15.825193]
[-] Pasajero 20 coge maleta (Pasajero 20-2)	[15.1207588]

	========== PASAJEROS ========== 	  Tiempos

[-] Pasajero 33 coge maleta (Pasajero 33-1)	[0.5242119]
[-] Pasajero 16 coge maleta (Pasajero 16-1)	[0.5724065]
[-] Pasajero 5 coge maleta (Pasajero 5-1)	[0.5936483]
[-] Pasajero 22 coge maleta (Pasajero 22-1)	[0.618799]
[-] Pasajero 27 coge maleta (Pasajero 27-1)	[0.6288258]
[-] Pasajero 25 coge maleta (Pasajero 25-1)	[0.6452837]
[-] Pasajero 39 coge maleta (Pasajero 39-1)	[0.6540476]
[-] Pasajero 6 coge maleta (Pasajero 6-1)	[0.6767196]
[-] Pasajero 32 coge maleta (Pasajero 32-1)	[0.6880871]
[-] Pasajero 34 coge maleta (Pasajero 34-1)	[0.7106399]
[-] Pasajero 8 coge maleta (Pasajero 8-1)	[1.6205185]
[-] Pasajero 15 coge maleta (Pasajero 15-1)	[1.7412178]
[-] Pasajero 9 coge maleta (Pasajero 9-1)	[2.6302625]
[-] Pasajero 37 coge maleta (Pasajero 37-1)	[2.8881805]
[-] Pasajero 19 coge maleta (Pasajero 19-1)	[3.6052476]
[-] Pasajero 18 coge maleta (Pasajero 18-1)	[3.9764321]
[-] Pasajero 10 coge maleta (Pasajero 10-1)	[4.4629039]
[-] Pasajero 1 coge maleta (Pasajero 1-1)	[5.2325338]
[-] Pasajero 35 coge maleta (Pasajero 35-1)	[5.7468224]
[-] Pasajero 35 coge maleta (Pasajero 35-2)	[0.7097151]
[-] Pasajero 12 coge maleta (Pasajero 12-1)	[6.6785737]
[-] Pasajero 21 coge maleta (Pasajero 21-1)	[7.5942941]
[-] Pasajero 23 coge maleta (Pasajero 23-1)	[7.7919298]
[-] Pasajero 28 coge maleta (Pasajero 28-1)	[8.5203871]
[-] Pasajero 38 coge maleta (Pasajero 38-1)	[8.9421612]
[-] Pasajero 20 coge maleta (Pasajero 20-1)	[9.5500307]
[-] Pasajero 0 coge maleta (Pasajero 0-1)	[10.2201628]
[-] Pasajero 14 coge maleta (Pasajero 14-1)	[10.7489853]
[-] Pasajero 13 coge maleta (Pasajero 13-1)	[11.4430754]
[-] Pasajero 24 coge maleta (Pasajero 24-1)	[11.9778847]
[-] Pasajero 26 coge maleta (Pasajero 26-1)	[12.5685459]
[-] Pasajero 17 coge maleta (Pasajero 17-1)	[13.0790842]
[-] Pasajero 31 coge maleta (Pasajero 31-1)	[13.8113951]
[-] Pasajero 29 coge maleta (Pasajero 29-1)	[14.3268498]
[-] Pasajero 7 coge maleta (Pasajero 7-1)	[15.1401012]
[-] Pasajero 30 coge maleta (Pasajero 30-1)	[15.2264829]
[-] Pasajero 11 coge maleta (Pasajero 11-1)	[16.1701322]
[-] Pasajero 2 coge maleta (Pasajero 2-1)	[16.5001712]
[-] Pasajero 3 coge maleta (Pasajero 3-1)	[17.3349565]
[-] Pasajero 4 coge maleta (Pasajero 4-1)	[17.6432166]
[-] Pasajero 4 coge maleta (Pasajero 4-2)	[0.6724866]
[-] Pasajero 36 coge maleta (Pasajero 36-1)	[18.734368]
[-] Pasajero 39 coge maleta (Pasajero 39-2)	[18.7944113]
[-] Pasajero 25 coge maleta (Pasajero 25-2)	[19.2495416]
[-] Pasajero 22 coge maleta (Pasajero 22-2)	[19.8090401]
[-] Pasajero 27 coge maleta (Pasajero 27-2)	[20.6326183]
[-] Pasajero 33 coge maleta (Pasajero 33-2)	[21.0173324]
[-] Pasajero 32 coge maleta (Pasajero 32-2)	[21.602835]
[-] Pasajero 16 coge maleta (Pasajero 16-2)	[22.0942863]
[-] Pasajero 5 coge maleta (Pasajero 5-2)	[22.8421982]
[-] Pasajero 6 coge maleta (Pasajero 6-2)	[23.2137906]
[-] Pasajero 34 coge maleta (Pasajero 34-2)	[23.899047]
[-] Pasajero 8 coge maleta (Pasajero 8-2)	[23.4710014]
[-] Pasajero 15 coge maleta (Pasajero 15-2)	[23.8749941]
[-] Pasajero 12 coge maleta (Pasajero 12-2)	[19.3164029]
[-] Pasajero 9 coge maleta (Pasajero 9-2)	[24.1386009]
[-] Pasajero 37 coge maleta (Pasajero 37-2)	[24.4704894]
[-] Pasajero 19 coge maleta (Pasajero 19-2)	[24.4375291]
[-] Pasajero 18 coge maleta (Pasajero 18-2)	[24.5716199]
[-] Pasajero 10 coge maleta (Pasajero 10-2)	[24.8671443]
[-] Pasajero 1 coge maleta (Pasajero 1-2)	[24.3079185]
[-] Pasajero 21 coge maleta (Pasajero 21-2)	[22.9627444]
[-] Pasajero 23 coge maleta (Pasajero 23-2)	[22.801964]
[-] Pasajero 28 coge maleta (Pasajero 28-2)	[23.0330487]
[-] Pasajero 38 coge maleta (Pasajero 38-2)	[22.6538017]
[-] Pasajero 20 coge maleta (Pasajero 20-2)	[23.0830356]
[-] Pasajero 0 coge maleta (Pasajero 0-2)	[22.5315714]
[-] Pasajero 14 coge maleta (Pasajero 14-2)	[23.033388]
[-] Pasajero 13 coge maleta (Pasajero 13-2)	[22.3614284]
[-] Pasajero 24 coge maleta (Pasajero 24-2)	[23.0237546]
[-] Pasajero 26 coge maleta (Pasajero 26-2)	[22.4891665]

	========== PASAJEROS ========== 	  Tiempos

[-] Pasajero 7 coge maleta (Pasajero 7-1)	[0.5445489]
[-] Pasajero 8 coge maleta (Pasajero 8-1)	[0.5902106]
[-] Pasajero 4 coge maleta (Pasajero 4-1)	[0.6060837]
[-] Pasajero 6 coge maleta (Pasajero 6-1)	[0.6303911]
[-] Pasajero 24 coge maleta (Pasajero 24-1)	[0.6432415]
[-] Pasajero 2 coge maleta (Pasajero 2-1)	[0.6595801]
[-] Pasajero 5 coge maleta (Pasajero 5-1)	[0.6726699]
[-] Pasajero 20 coge maleta (Pasajero 20-1)	[0.6838731]
[-] Pasajero 17 coge maleta (Pasajero 17-1)	[0.6976161]
[-] Pasajero 30 coge maleta (Pasajero 30-1)	[0.7146863]
[-] Pasajero 25 coge maleta (Pasajero 25-1)	[1.6659626]
[-] Pasajero 29 coge maleta (Pasajero 29-1)	[1.8991283]
[-] Pasajero 1 coge maleta (Pasajero 1-1)	[2.6991524]
[-] Pasajero 14 coge maleta (Pasajero 14-1)	[3.0969135]
[-] Pasajero 27 coge maleta (Pasajero 27-1)	[3.9672166]
[-] Pasajero 9 coge maleta (Pasajero 9-1)	[4.0165629]
[-] Pasajero 19 coge maleta (Pasajero 19-1)	[4.9246092]
[-] Pasajero 23 coge maleta (Pasajero 23-1)	[5.2591374]
[-] Pasajero 21 coge maleta (Pasajero 21-1)	[6.0901363]
[-] Pasajero 18 coge maleta (Pasajero 18-1)	[6.4042466]
[-] Pasajero 39 coge maleta (Pasajero 39-1)	[7.2507114]
[-] Pasajero 12 coge maleta (Pasajero 12-1)	[7.6410584]
[-] Pasajero 16 coge maleta (Pasajero 16-1)	[8.3869181]
[-] Pasajero 12 coge maleta (Pasajero 12-2)	[1.017675]
[-] Pasajero 32 coge maleta (Pasajero 32-1)	[9.5145132]
[-] Pasajero 31 coge maleta (Pasajero 31-1)	[9.6858827]
[-] Pasajero 34 coge maleta (Pasajero 34-1)	[10.7900033]
[-] Pasajero 26 coge maleta (Pasajero 26-1)	[10.8570533]
[-] Pasajero 3 coge maleta (Pasajero 3-1)	[11.8923815]
[-] Pasajero 28 coge maleta (Pasajero 28-1)	[11.931445]
[-] Pasajero 38 coge maleta (Pasajero 38-1)	[12.9760736]
[-] Pasajero 10 coge maleta (Pasajero 10-1)	[13.1218103]
[-] Pasajero 37 coge maleta (Pasajero 37-1)	[14.0308795]
[-] Pasajero 22 coge maleta (Pasajero 22-1)	[14.1020409]
[-] Pasajero 13 coge maleta (Pasajero 13-1)	[15.2459762]
[-] Pasajero 11 coge maleta (Pasajero 11-1)	[15.3367028]
[-] Pasajero 36 coge maleta (Pasajero 36-1)	[16.3978042]
[-] Pasajero 33 coge maleta (Pasajero 33-1)	[16.4289977]
[-] Pasajero 35 coge maleta (Pasajero 35-1)	[17.4501094]
[-] Pasajero 0 coge maleta (Pasajero 0-1)	[17.4994898]
[-] Pasajero 15 coge maleta (Pasajero 15-1)	[18.5847679]
[-] Pasajero 4 coge maleta (Pasajero 4-2)	[18.196361]
[-] Pasajero 24 coge maleta (Pasajero 24-2)	[19.1104204]
[-] Pasajero 8 coge maleta (Pasajero 8-2)	[19.5891334]
[-] Pasajero 2 coge maleta (Pasajero 2-2)	[20.3108651]
[-] Pasajero 6 coge maleta (Pasajero 6-2)	[20.699724]

	========== PASAJEROS ========== 	  Tiempos

[-] Pasajero 17 coge maleta (Pasajero 17-1)	[0.5156832]
[-] Pasajero 24 coge maleta (Pasajero 24-1)	[0.5676377]
[-] Pasajero 30 coge maleta (Pasajero 30-1)	[0.5923268]
[-] Pasajero 32 coge maleta (Pasajero 32-1)	[0.6093499]
[-] Pasajero 13 coge maleta (Pasajero 13-1)	[0.6261161]
[-] Pasajero 14 coge maleta (Pasajero 14-1)	[0.6415756]
[-] Pasajero 3 coge maleta (Pasajero 3-1)	[0.6743848]
[-] Pasajero 23 coge maleta (Pasajero 23-1)	[0.7124653]
[-] Pasajero 29 coge maleta (Pasajero 29-1)	[0.7329951]
[-] Pasajero 1 coge maleta (Pasajero 1-1)	[0.7527791]
[-] Pasajero 27 coge maleta (Pasajero 27-1)	[1.6957519]
[-] Pasajero 31 coge maleta (Pasajero 31-1)	[1.9504793]
[-] Pasajero 34 coge maleta (Pasajero 34-1)	[2.7396917]
[-] Pasajero 19 coge maleta (Pasajero 19-1)	[3.1265623]
[-] Pasajero 10 coge maleta (Pasajero 10-1)	[3.8867383]
[-] Pasajero 20 coge maleta (Pasajero 20-1)	[4.2696597]
[-] Pasajero 5 coge maleta (Pasajero 5-1)	[4.9842521]
[-] Pasajero 36 coge maleta (Pasajero 36-1)	[5.2754396]
[-] Pasajero 0 coge maleta (Pasajero 0-1)	[6.0648457]
[-] Pasajero 6 coge maleta (Pasajero 6-1)	[6.3487253]
[-] Pasajero 33 coge maleta (Pasajero 33-1)	[7.2925712]
[-] Pasajero 9 coge maleta (Pasajero 9-1)	[7.5334919]
[-] Pasajero 7 coge maleta (Pasajero 7-1)	[8.3693514]
[-] Pasajero 2 coge maleta (Pasajero 2-1)	[8.4545498]
[-] Pasajero 15 coge maleta (Pasajero 15-1)	[9.6608415]
[-] Pasajero 28 coge maleta (Pasajero 28-1)	[9.8346015]
[-] Pasajero 38 coge maleta (Pasajero 38-1)	[10.8451843]
[-] Pasajero 4 coge maleta (Pasajero 4-1)	[11.0055939]
[-] Pasajero 12 coge maleta (Pasajero 12-1)	[12.1582687]
[-] Pasajero 11 coge maleta (Pasajero 11-1)	[12.1712156]
[-] Pasajero 39 coge maleta (Pasajero 39-1)	[13.2950551]
[-] Pasajero 25 coge maleta (Pasajero 25-1)	[13.3131906]
[-] Pasajero 22 coge maleta (Pasajero 22-1)	[14.4096681]
[-] Pasajero 8 coge maleta (Pasajero 8-1)	[14.4514895]
[-] Pasajero 21 coge maleta (Pasajero 21-1)	[15.5629383]
[-] Pasajero 26 coge maleta (Pasajero 26-1)	[15.739854]
[-] Pasajero 35 coge maleta (Pasajero 35-1)	[16.7166747]
[-] Pasajero 37 coge maleta (Pasajero 37-1)	[16.8274583]
[-] Pasajero 18 coge maleta (Pasajero 18-1)	[18.0267086]
[-] Pasajero 16 coge maleta (Pasajero 16-1)	[18.1059593]
[-] Pasajero 32 coge maleta (Pasajero 32-2)	[18.5735488]
[-] Pasajero 24 coge maleta (Pasajero 24-2)	[18.7342297]
[-] Pasajero 14 coge maleta (Pasajero 14-2)	[19.7821153]
[-] Pasajero 17 coge maleta (Pasajero 17-2)	[19.8961852]
[-] Pasajero 13 coge maleta (Pasajero 13-2)	[20.9796585]
[-] Pasajero 30 coge maleta (Pasajero 30-2)	[21.0276866]
[-] Pasajero 3 coge maleta (Pasajero 3-2)	[21.911381]
[-] Pasajero 23 coge maleta (Pasajero 23-2)	[21.9659576]
[-] Pasajero 1 coge maleta (Pasajero 1-2)	[22.8690589]
[-] Pasajero 29 coge maleta (Pasajero 29-2)	[23.0207776]
[-] Pasajero 31 coge maleta (Pasajero 31-2)	[22.7139621]
[-] Pasajero 27 coge maleta (Pasajero 27-2)	[23.2828433]
[-] Pasajero 34 coge maleta (Pasajero 34-2)	[23.1187363]
[-] Pasajero 19 coge maleta (Pasajero 19-2)	[22.8777897]
[-] Pasajero 10 coge maleta (Pasajero 10-2)	[22.9906357]
[-] Pasajero 20 coge maleta (Pasajero 20-2)	[23.0386901]
